text,aspect,sentiment
غذای این رستوران واقعاً عالی بود,غذا,positive
پیتزا خیلی خوشمزه و تازه بود,پیتزا,positive
کیفیت غذا فوق‌العاده بود,کیفیت غذا,positive
کباب کوبیده عالی بود,کباب,positive
سالاد خیلی تازه و خوشمزه بود,سالاد,positive
برنج خوب پخته شده بود,برنج,positive
نوشابه سرد و خنک بود,نوشابه,positive
دسر خامه‌ای محشر بود,دسر,positive
سوپ داغ و خوشمزه بود,سوپ,positive
ساندویچ بزرگ و سیرکننده بود,ساندویچ,positive
چلوکباب این رستوران حرف نداره,چلوکباب,positive
جوجه کباب خیلی نرم و آبدار بود,جوجه کباب,positive
قورمه سبزی مزه اصیل ایرانی داشت,قورمه سبزی,positive
فسنجان خوشمزه و غلیظ بود,فسنجان,positive
زرشک پلو با مرغ عالی بود,زرشک پلو,positive
غذا سرد بود و مزه نداشت,غذا,negative
پیتزا سوخته و بدمزه بود,پیتزا,negative
کیفیت غذا افتضاح بود,کیفیت غذا,negative
کباب خام بود و قابل خوردن نبود,کباب,negative
سالاد تازه نبود و پژمرده بود,سالاد,negative
برنج شفته و بدپخت بود,برنج,negative
نوشابه گرم و بی‌گاز بود,نوشابه,negative
دسر خراب و ترش شده بود,دسر,negative
سوپ بی‌مزه و آبکی بود,سوپ,negative
ساندویچ کوچک و گرون بود,ساندویچ,negative
غذا نیم‌پز و غیرقابل خوردن بود,غذا,negative
مرغ خشک و بی‌مزه بود,مرغ,negative
ماکارونی له شده و چسبناک بود,ماکارونی,negative
همبرگر سرد و بی‌کیفیت بود,همبرگر,negative
سیب‌زمینی سرخ شده چرب و نرم بود,سیب‌زمینی,negative
غذای معمولی بود نه خوب نه بد,غذا,neutral
پیتزا در حد انتظار بود,پیتزا,neutral
کباب متوسط بود,کباب,neutral
سالاد نه تازه نه کهنه,سالاد,neutral
غذا قابل قبول بود,غذا,neutral
پرس معمولی بود,پرس,neutral
مزه استاندارد داشت,مزه,neutral
سرویس‌دهی سریع و محترمانه بود,سرویس,positive
گارسون خیلی مودب و خوش‌برخورد بود,گارسون,positive
برخورد پرسنل عالی بود,پرسنل,positive
سرعت سرویس‌دهی خوب بود,سرعت سرویس,positive
پذیرایی گرم و صمیمانه بود,پذیرایی,positive
خدمات این رستوران بی‌نظیره,خدمات,positive
گارسون سفارش رو سریع آورد,گارسون,positive
رزرو آسان و بدون دردسر بود,رزرو,positive
صف نبود و سریع جا دادن,صف,positive
منو کامل و متنوع بود,منو,positive
سرویس‌دهی افتضاح بود,سرویس,negative
گارسون بی‌ادب و بداخلاق بود,گارسون,negative
پرسنل اصلاً به مشتری اهمیت نمی‌دادن,پرسنل,negative
سرعت سرویس‌دهی خیلی کند بود,سرعت سرویس,negative
یک ساعت منتظر غذا موندیم,انتظار,negative
گارسون سفارش رو اشتباه آورد,گارسون,negative
برخورد بد و توهین‌آمیز داشتن,برخورد,negative
هیچکس به ما توجه نمی‌کرد,توجه,negative
رزرو کرده بودیم ولی میز نداشتن,رزرو,negative
صف خیلی طولانی بود,صف,negative
سرویس معمولی بود,سرویس,neutral
گارسون نه خوب نه بد,گارسون,neutral
سرعت سرویس متوسط بود,سرعت سرویس,neutral
انتظار در حد نرمال بود,انتظار,neutral
فضای رستوران دلنشین و زیبا بود,فضا,positive
دکوراسیون مدرن و شیک بود,دکوراسیون,positive
محیط تمیز و بهداشتی بود,محیط,positive
نورپردازی عالی و رمانتیک بود,نورپردازی,positive
صندلی‌ها راحت بودن,صندلی,positive
میزها تمیز و مرتب بودن,میز,positive
موسیقی ملایم و دلنشین پخش می‌شد,موسیقی,positive
تهویه هوا خوب بود,تهویه,positive
سرویس بهداشتی تمیز بود,سرویس بهداشتی,positive
پارکینگ بزرگ و راحت داشت,پارکینگ,positive
فضای رستوران کثیف و نامرتب بود,فضا,negative
دکوراسیون قدیمی و زشت بود,دکوراسیون,negative
محیط کثیف و غیربهداشتی بود,محیط,negative
نورپردازی ضعیف و تاریک بود,نورپردازی,negative
صندلی‌ها ناراحت و کهنه بودن,صندلی,negative
میز کثیف و چسبناک بود,میز,negative
سر و صدا زیاد بود,سر و صدا,negative
بوی بد غذا می‌اومد,بو,negative
سرویس بهداشتی کثیف بود,سرویس بهداشتی,negative
پارکینگ نداشت,پارکینگ,negative
فضا نه بزرگ نه کوچک بود,فضا,neutral
دکوراسیون ساده بود,دکوراسیون,neutral
محیط معمولی بود,محیط,neutral
صندلی استاندارد بود,صندلی,neutral
قیمت‌ها مناسب و منصفانه بود,قیمت,positive
قیمت برای این کیفیت عالی بود,قیمت,positive
ارزش پول رو داشت,ارزش,positive
پرس بزرگ و قیمت مناسب,پرس,positive
تخفیف خوبی داشتن,تخفیف,positive
قیمت‌ها نجومی و گرون بود,قیمت,negative
برای این کیفیت خیلی گرون بود,قیمت,negative
اصلاً ارزش پولش رو نداشت,ارزش,negative
پرس کوچک و گرون,پرس,negative
قیمت‌ها متناسب با بازار بود,قیمت,neutral
نه گرون نه ارزون,قیمت,neutral
قیمت در حد نرمال بود,قیمت,neutral
موقعیت مکانی عالی بود,موقعیت,positive
دسترسی آسان با مترو داشت,دسترسی,positive
توی مرکز شهر بود,موقعیت,positive
موقعیت مکانی بد و دورافتاده بود,موقعیت,negative
دسترسی سخت بود,دسترسی,negative
توی کوچه پس کوچه بود,موقعیت,negative
موقعیت معمولی بود,موقعیت,neutral
غذای دریایی تازه و خوشمزه بود,غذای دریایی,positive
میگو سرخ شده عالی بود,میگو,positive
ماهی کبابی بی‌نظیر بود,ماهی,positive
پاستا خامه‌ای محشر بود,پاستا,positive
لازانیا پنیری خوشمزه بود,لازانیا,positive
سوشی تازه و استاندارد بود,سوشی,positive
استیک پخت عالی داشت,استیک,positive
برگر ذغالی خوشمزه بود,برگر,positive
غذای دریایی بوی تند می‌داد,غذای دریایی,negative
میگو خام و نپخته بود,میگو,negative
ماهی بوی زهم می‌داد,ماهی,negative
پاستا شور شده بود,پاستا,negative
لازانیا سوخته بود,لازانیا,negative
سوشی تازه نبود,سوشی,negative
استیک سفت و خشک بود,استیک,negative
برگر سرد شده بود,برگر,negative
غذای دریایی معمولی بود,غذای دریایی,neutral
میگو در حد نرمال بود,میگو,neutral
ماهی متوسط بود,ماهی,neutral
چای داغ و خوش‌عطر بود,چای,positive
قهوه اسپرسو عالی بود,قهوه,positive
آبمیوه تازه و طبیعی بود,آبمیوه,positive
دوغ خنک و گوارا بود,دوغ,positive
چای سرد و بی‌مزه بود,چای,negative
قهوه سوخته و تلخ بود,قهوه,negative
آبمیوه آبکی و بی‌مزه بود,آبمیوه,negative
دوغ ترش شده بود,دوغ,negative
چای معمولی بود,چای,neutral
قهوه در حد استاندارد بود,قهوه,neutral
این بهترین رستوران شهره,رستوران,positive
حتماً دوباره میام,رستوران,positive
به همه پیشنهاد می‌کنم,رستوران,positive
تجربه فوق‌العاده‌ای بود,تجربه,positive
شام رمانتیک عالی داشتیم,شام,positive
بدترین رستورانی بود که رفتم,رستوران,negative
دیگه هرگز نمیام,رستوران,negative
به هیچکس توصیه نمی‌کنم,رستوران,negative
پشیمون شدم اومدم,تجربه,negative
وقت و پولم هدر رفت,تجربه,negative
رستوران معمولی بود,رستوران,neutral
نه خوب نه بد بود,تجربه,neutral
می‌شد بهتر باشه,تجربه,neutral
نان تازه و خوشمزه بود,نان,positive
نان سنگک داغ بود,نان,positive
نان بیات و سفت بود,نان,negative
ته‌چین خوشمزه و ترد بود,ته‌چین,positive
آش رشته غلیظ و پرمایه بود,آش,positive
کشک بادمجان عالی بود,کشک بادمجان,positive
میرزاقاسمی تازه و خوش‌طعم بود,میرزاقاسمی,positive
دلمه برگ مو پرمحتوا بود,دلمه,positive
آبگوشت سنتی و اصیل بود,آبگوشت,positive
باقالی پلو با ماهیچه بی‌نظیر بود,باقالی پلو,positive
کوبیده ذغالی خوش‌بو بود,کوبیده,positive
جگر سرخ شده ترد و خوشمزه بود,جگر,positive
ته‌چین خشک و سوخته بود,ته‌چین,negative
آش آبکی و بی‌مزه بود,آش,negative
کشک بادمجان ترش شده بود,کشک بادمجان,negative
میرزاقاسمی تازه نبود,میرزاقاسمی,negative
دلمه شور بود,دلمه,negative
آبگوشت چرب و سنگین بود,آبگوشت,negative
باقالی پلو خام بود,باقالی پلو,negative
جگر سوخته و سفت بود,جگر,negative
صبحانه کامل و مفصل بود,صبحانه,positive
تخم‌مرغ تازه و خوش‌پخت بود,تخم‌مرغ,positive
پنیر و سبزی تازه بود,پنیر,positive
عسل طبیعی و خوشمزه بود,عسل,positive
صبحانه ناقص و کم بود,صبحانه,negative
تخم‌مرغ سرد شده بود,تخم‌مرغ,negative
پنیر خشک و کهنه بود,پنیر,negative
صبحانه معمولی بود,صبحانه,neutral
ظرف غذا تمیز و شیک بود,ظرف,positive
قاشق و چنگال استیل بود,قاشق,positive
ظرف غذا کثیف بود,ظرف,negative
لیوان لب‌پر بود,لیوان,negative
ظرف معمولی بود,ظرف,neutral
اندازه پرس مناسب بود,اندازه پرس,positive
سفارش کامل و درست اومد,سفارش,positive
اندازه پرس کوچک بود,اندازه پرس,negative
سفارش ناقص بود,سفارش,negative
اندازه پرس استاندارد بود,اندازه پرس,neutral
ویوی رستوران قشنگ بود,ویو,positive
چشم‌انداز به دریا داشت,چشم‌انداز,positive
باغ رستوران سرسبز بود,باغ,positive
ویو نداشت,ویو,negative
چشم‌انداز به کوچه بود,چشم‌انداز,negative
ویو معمولی بود,ویو,neutral
وای‌فای رایگان داشت,وای‌فای,positive
شارژر موبایل داشتن,شارژر,positive
وای‌فای نداشت,وای‌فای,negative
وای‌فای ضعیف بود,وای‌فای,negative
امکانات معمولی بود,امکانات,neutral
غذای بچه‌ها خوب بود,غذای بچه,positive
صندلی کودک داشتن,صندلی کودک,positive
غذای بچه نداشتن,غذای بچه,negative
صندلی کودک نداشتن,صندلی کودک,negative
برای خانواده مناسب بود,خانواده,positive
برای بچه‌دارها مناسب نبود,خانواده,negative
برای خانواده متوسط بود,خانواده,neutral
